date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20,ret_20d,year_month,signal
2020-12-22,23.75798535,sz.000002,万科A,-0.0042598509052184,-0.004268949919576,24.081534384,25.0178785125,24.512650767,0.2162533279228392,-0.09315061474698211,2020-12,0
2020-12-23,23.57164821,sz.000002,万科A,-0.0078431372549019,-0.0078740564309058,23.951098386,24.892100943,24.4966991785,0.2162223568348171,-0.0993730064589344,2020-12,0
2020-12-24,23.66481678,sz.000002,万科A,0.0039525691699604,0.0039447782910163,23.798640726,24.765052893,24.4859706765,0.2158863305470344,-0.0999658918344284,2020-12,0
2020-12-25,23.8003347,sz.000002,万科A,0.0057265569076594,0.0057102225108844,23.730881766,24.6164066745,24.485970676500003,0.196321743573514,-0.11589415069923191,2020-12,0
2020-12-28,24.07137054,sz.000002,万科A,0.0113879003558718,0.0113235463292545,23.773231116,24.5198501565,24.4972638365,0.1854057900709614,-0.07571789222883941,2020-12,0
2020-12-29,24.15606924,sz.000002,万科A,0.0035186488388458,0.0035124728771406,23.852847894,24.425411106,24.4989578105,0.1862572681894688,-0.07382790788510761,2020-12,0
2020-12-30,24.03749106,sz.000002,万科A,-0.0049088359046283,-0.0049209238141985,23.946016464000003,24.3089503935,24.500228291,0.1763447492308971,-0.0910944673669717,2020-12,0
2020-12-31,24.3085269,sz.000002,万科A,0.011275546159267,0.0112124510336788,24.074758488,24.2157818235,24.509827477,0.1846176615281093,-0.07243054986173621,2020-12,1
2021-01-04,23.52929886,sz.000002,万科A,-0.0320557491289198,-0.0325807854393776,24.02055132,24.1217662665,24.506298364500005,0.1901940589606203,-0.0753600853984232,2021-01,0
2021-01-05,23.63940717,sz.000002,万科A,0.0046796256299495,0.0046687102220329,23.934158645999997,24.0582422415,24.5006517845,0.1826874248634958,-0.051013793101807,2021-01,0
2021-01-06,24.35087625,sz.000002,万科A,0.0300967395198854,0.0296527196951287,23.973120048,24.040032021,24.511380286500003,0.2149175099104389,-0.01309658435376801,2021-01,0
2021-01-07,24.38475573,sz.000002,万科A,0.0013913043478259,0.0013903373807249,24.042572982,24.0455374365,24.525637900999996,0.2051638560599051,0.006115144942652792,2021-01,0
2021-01-08,24.85059858,sz.000002,万科A,0.0191038555053839,0.0189236680907512,24.150987318,24.0777229425,24.548788878999996,0.2152529936578346,0.028010347272879692,2021-01,0
2021-01-11,25.22327286,sz.000002,万科A,0.0149965916837082,0.0148852545410272,24.489782118,24.133624084500003,24.575892463,0.2193750644408099,0.04720567933447439,2021-01,0
2021-01-12,25.1555139,sz.000002,万科A,-0.0026863666890531,-0.0026899814472091,24.793003464,24.1666565775,24.603560705,0.2137773393677946,0.028356276805646296,2021-01,0
2021-01-13,25.3249113,sz.000002,万科A,0.0067340067340067,0.0067114345879867,24.987810473999996,24.2238282,24.637722514,0.2077111019797342,0.04788419778584929,2021-01,0
2021-01-14,25.40114013,sz.000002,万科A,0.0030100334448162,0.0030055123642771,25.191087354,24.2826937965,24.671037336,0.2077074847563348,0.049142917745551795,2021-01,0
2021-01-15,25.36726065,sz.000002,万科A,-0.0013337779259754,-0.0013346681994594,25.294419768,24.329701575,24.698705578,0.2068892989973213,0.039417531427968,2021-01,0
2021-01-18,26.47681362,sz.000002,万科A,0.0437395659432389,0.0428100004318723,25.54512792,24.446585781,24.746419179,0.247762695507766,0.09494627906330119,2021-01,0
2021-01-19,26.49375336,sz.000002,万科A,0.000639795265515,0.0006395906837797,25.812775812,24.5782922595,24.792721135,0.2407817789943337,0.10716502169723718,2021-01,0
2021-01-20,25.8331035,sz.000002,万科A,-0.0249360613810741,-0.0252522320637444,25.914414252,24.682048167,24.8354939785,0.2619878171827229,0.0864888112213815,2021-01,0
2021-01-21,25.4943087,sz.000002,万科A,-0.0131147540983606,-0.0132015118585358,25.933047965999997,24.7781811915,24.8803842895,0.2658744854874727,0.0812171943779228,2021-01,0
2021-01-22,24.78283962,sz.000002,万科A,-0.027906976744186,-0.0283037761628518,25.81616376,24.8340823335,24.906923215499997,0.2890850161099015,0.049357648463776396,2021-01,0
2021-01-25,24.86753832,sz.000002,万科A,0.0034176349965824,0.0034118081543366,25.4943087,24.8874425145,24.93247399,0.2888559052455127,0.04704872655269939,2021-01,0
