date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20
2020-04-03,964.69887957,sh.600519,贵州茅台,-0.004550218340611312,-0.0045606020949575535,943.0043905140001,918.1875945710001,921.4777674196666,0.42797234834530096
2020-04-07,981.76196085,sh.600519,贵州茅台,0.01768746874424232,0.017532865829771677,957.892267484,920.1317363219999,922.6258859591668,0.4108392112245198
2020-04-08,981.60114808,sh.600519,贵州茅台,-0.00016380016380013185,-0.00016381358051208874,966.1461944999999,920.290856326,923.7793649243334,0.38903021003987637
2020-04-09,980.5347055,sh.600519,贵州茅台,-0.0010864316755191394,-0.0010870222702111959,975.5410458,920.2900099430001,924.6817502661667,0.3890099515345147
2020-04-10,986.036195,sh.600519,贵州茅台,0.005610703495899871,0.005595022127370044,978.9265778000001,921.4114674179998,925.7659668891666,0.3837527156564307
2020-04-13,983.7509609,sh.600519,贵州茅台,-0.0023175965665236387,-0.0023202863501387,982.7369940660001,923.5388510884999,926.6067073358334,0.372940416344229
2020-04-14,1003.0484933,sh.600519,贵州茅台,0.019616278069345183,0.019426358544740584,986.9943005560001,928.5367427035001,927.6308307658333,0.34073275966177113
2020-04-15,1006.8572168,sh.600519,贵州茅台,0.003797147920006738,0.0037899569515423685,992.0455142999999,934.6518598785,928.552400789,0.32676435718102376
2020-04-16,1013.2050893,sh.600519,贵州茅台,0.006304640215198498,0.006284849111378977,998.57959106,942.6548343349999,929.817743374,0.28634408559382657
2020-04-17,1037.665558,sh.600519,贵州茅台,0.024141675716314204,0.023854872238832307,1008.90546366,952.388238835,931.4240372441667,0.2803317343264818
2020-04-20,1038.7658559,sh.600519,贵州茅台,0.0010603588907014405,0.0010597971073058362,1019.90844266,960.5143620179999,933.1210351591667,0.26033546679662234
2020-04-21,1015.6596,sh.600519,贵州茅台,-0.02224395013444136,-0.022495077827370796,1022.4306640000001,968.174128168,934.4258756175,0.26931074422025786
2020-04-22,1053.3236435,sh.600519,贵州茅台,0.03708333333333336,0.03641228603155504,1031.72394934,976.1512879429999,936.5912054591666,0.27038754697423717
2020-04-23,1059.89157558,sh.600519,贵州茅台,0.006235435918039656,0.006216076024068254,1041.0612465959998,983.4369528069999,939.0874710538334,0.26499563703535794
2020-04-24,1058.45272448,sh.600519,贵州茅台,-0.0013575455576320117,-0.0013584678574063405,1045.218679892,991.2930798129998,941.5567934563334,0.2549051646273459
2020-04-27,1079.984708,sh.600519,贵州茅台,0.02034288638689863,0.020138733930426613,1053.4624503119999,999.7780693880001,944.7053382163334,0.2585031858978365
2020-04-28,1082.63388679,sh.600519,贵州茅台,0.0024529780564261916,0.002449974416659074,1066.85730767,1008.5436349275,948.5875559735,0.25577974535707143
2020-04-29,1079.0536867,sh.600519,贵州茅台,-0.0033069351825066873,-0.0033124151773176623,1072.00331631,1015.4797436124998,951.9292171213333,0.237565684369669
2020-04-30,1071.2669631,sh.600519,贵州茅台,-0.0072162522550788255,-0.007242415345673885,1074.278393814,1022.3650693175001,954.9721050701667,0.23757801260836484
2020-05-06,1100.2979,sh.600519,贵州茅台,0.027099628663980413,0.02673893565122543,1082.647428918,1028.9245375675,958.2024668534999,0.2211650826318613
2020-05-07,1110.454496,sh.600519,贵州茅台,0.009230769230769154,0.00918842605440617,1088.7413865180001,1036.212318389,961.5315733201666,0.2174447846853529
2020-05-08,1112.66355563,sh.600519,贵州茅台,0.00198932926829265,0.001987353173125777,1094.747320286,1042.757398128,965.0316491528333,0.21447311432833138
2020-05-11,1119.77317283,sh.600519,贵州茅台,0.006389727751956897,0.006369399988216803,1102.891217512,1049.6659993655,968.2057264666666,0.21308480849345235
2020-05-12,1128.228539,sh.600519,贵州茅台,0.007550963333610383,0.007522597513331654,1114.2835326919999,1057.0506910405,971.5310242098334,0.21109981286002666
2020-05-13,1130.72536885,sh.600519,贵州茅台,0.0022130532633157785,0.0022106080678433284,1120.369026462,1064.285149733,974.9863828073334,0.21176614651914807
2020-05-14,1122.80322397,sh.600519,贵州茅台,-0.007006250233915878,-0.007030909250747306,1122.838772056,1071.2377628865001,978.3520248068332,0.2151161049890651
2020-05-15,1111.300879,sh.600519,贵州茅台,-0.01024431060086406,-0.010297144693008686,1122.56623673,1076.6503821715,981.4438619058333,0.2174715094660837
2020-05-18,1139.40925843,sh.600519,贵州茅台,0.025293221629855367,0.024978641562970236,1126.4934538499997,1083.277984253,985.1426966796666,0.2286950520106312
2020-05-19,1139.32462013,sh.600519,贵州茅台,-7.42826156393539e-05,-7.42853747294828e-05,1128.712670076,1089.5839607945,988.6637910235,0.229811774837997
2020-05-20,1143.463433,sh.600519,贵州茅台,0.003632689750465934,0.0036261074691618742,1131.2602829060002,1094.8738545444999,991.9505783401667,0.21962173890115536
2020-05-21,1156.2438163,sh.600519,贵州茅台,0.011176905995558872,0.011114905933242634,1137.9484013719998,1100.7477525645002,995.5225967278333,0.22017668010997277
2020-05-22,1124.1659006,sh.600519,贵州茅台,-0.027743210599516788,-0.028135322786828076,1140.521405692,1106.1730675944998,998.9225172388334,0.23000094988088127
2020-05-25,1153.5353907,sh.600519,贵州茅台,0.026125583496461546,0.025790140326854172,1143.3466321459998,1111.1836549545,1002.9864252133334,0.21246673139028893
2020-05-26,1149.388114,sh.600519,贵州茅台,-0.0035952747817155073,-0.0036017533148259184,1145.35933092,1115.6584818755,1006.9968699950001,0.21434449534712124
2020-05-27,1132.460454,sh.600519,贵州茅台,-0.014727540500736436,-0.014837067430467737,1143.15873512,1119.3588683515,1010.5320707221667,0.22393830495176556
